"region","Branch_ID","center_id","center_name","loan_id","customer_id","Partner_BankID","Collected_By","Collection_Date","Collection_Status","Seq_Num","Collected_Amount","Waive_Off_Amount","principal_amt","interest_amt","paid_by","Collection_Type","Pay_Mode","source","Receipt_Number","Write_Off","Attendance","PreClosure_Reason","PreClosure_Fund_Source","modified_by","modified_on"
"1-Ayodhya","113-Chauri Chaura","3104","chauri-chaura_3104","525779","53234","Central Bank of India-9855","SF00125-Vishal kumar maddheshiya","2024-07-24","Completed","18","34708","0","34683","25","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00101-Krishn Kant Ray","2024-07-24 10:06:47.352"
"4-Darbhanga","150-Sheohar","6615","sheohar-_6615","534083","59897","India Post Payments Bank-11617","SF00578-Rajeev Kumar","2025-02-13","Completed","45","21156","0","21034","122","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00578-Rajeev Kumar","2025-02-13 08:02:51.684"
"4-Darbhanga","131-Benipur","5262","dekuli-01_5262","522752","50786","Central Bank of India-8597","","2024-08-13","Completed","28","44090","0","44090","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"4-Darbhanga","149-Rosera","5926","musepur-malipur_5926","535955","54708","Central Bank of India-9946","SF00096-Rahul Kumar","2025-02-12","Completed","45","17359","0","17271","88","not paid","PreClosure","None","app","0","0","Absent","NA","NA","SF01319-Arun Kumar","2025-02-12 13:52:36.666"
"3-Kalaburgi","108-Kalaburgi","9129","jaferabad-_9129","572376","91516","Canara Bank-23032","","2025-01-13","Completed","29","39762","0","39762","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","140-Chitguppa","10658","udbal_10658","588996","104686","Karnataka Gramin Bank-28030","","2024-12-24","Completed","24","39154","0","39154","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","108-Kalaburgi","3838","haj-commite_3838","508433","38231","Bank of Baroda-5786","","2024-08-13","Completed","33","39116","0","39116","0","","Death-PreClosure","","app","0","0","Absent","NA","NA","",""
"3-Kalaburgi","167-Jamkhandi","9800","mahalingeswar-colony 2_9800","571268","90598","Karnataka Vikas Grameena Bank-22661","SF00548-Shashikant Tanaji Kamble","2025-01-02","Completed","28","34025","0","33951","74","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00310-Sangamesh Kalavvagol","2025-01-02 05:27:08.651"
"1-Ayodhya","113-Chauri Chaura","4075","jolhabari_4075","509456","39139","State Bank of India-5796","SF00095-Vinod Kumar Dubey","2025-02-11","Completed","53","7452","0","7430","22","Self","PreClosure","Cash","app","0","0","Absent","NA","NA","SF00101-Krishn Kant Ray","2025-02-11 11:24:52.315"
"2-Mathura","173-Dholpur","11319","mahmad-pur dholpur _11319","597060","112314","India Post Payments Bank-30566","SF00432-Sunny choudhary","2025-02-11","Completed","27","30183","0","30183","0","Self","PreClosure","Cash","app","0","0","Present","NA","NA","SF00893-Nagar Mal Yadav","2025-02-11 10:53:12.056"
